Part No.,Part Type,Description,QPA,Level,Qty per Batch (100pcs),Total Qty
MHHCQ01001042F10,散熱器,L型散熱器  35.5mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H400-02,1,3,100,100
MHHCQ01001052F10,散熱器,L型散熱器  50mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H500-02,1,3,100,100
WNW01028MX00011T,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  棕色,1,3,100,100
WNW01028MX00011T,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  藍色,1,3,100,100
WNW01014MX00011T,電子線,1430  16AWG 135mm 一端加187端子  另一端加圓環端子 4.3*8.0 黃綠色,1,3,100,100
MBNCMNPRT0010N10,套管.LED支架,UL熱縮套管  ￠35*43mm 黑色  125℃,1,3,100,100
MBNCMNPRT0020N10,套管.LED支架,UL熱縮套管  ￠30*35mm 黑色  125℃,3,3,100,300
MBNCMNPRT0030N10,套管.LED支架,UL熱縮套管  ￠25*35mm 黑色  125℃,1,3,100,100
2200700900500HF0,電感,"空芯磁珠 25M 20Ω,100M 60Ω ￠4.1*2.0*4mm",5,3,100,500
2201601030500HF0,電感,共差模電感 0.6T*2.0mm 1UEW 扁平線 30TS L=5mH MIN,1,3,100,100
2201201040500HFT,電感,共模電感 T31*16*8，R10K，￠1.4mm*9.5Ts L＞1mH 加熱縮套管,1,3,100,100
2201201070500HFT,電感,共模電感 鎳鋅/800ui/19*11*11mm，￠1mm*3Ts，L＞10uH,1,3,100,100
2200201050300HFT,電感,環形電感 BS130060 USTC￠0.1*130*61.5Ts  L=235μH±10%,1,3,100,100
2200201060300HFT,電感,環形電感 BS130060×2 USTC￠0.1*130*61.5Ts  L=470μH±10%,1,3,100,100
2200701070500HF0,電感,環形EMI電感 19*11*11mm （25Mhz25 (MIN) OHM）/（100MHz55 (MIN) OHM）材質：鎳鋅鐵芯/800ui,1,3,100,100
2200701330500HF0,電感,環形EMI電感 25*12*15mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,1,3,100,100
